site,erosion_rate_m_myr,hilltop_curvature_m_inv,K_m2_myr
Sly Park,49,-0.0077,6363.636363636363
Capps Crossing,33,-0.003,11000.0
Andesitic Ridges,24,-0.0027,8888.888888888889
